,query,duplicates
0,doc_36,"['doc_36', 'doc_8876']"
1,doc_60,"['doc_60', 'doc_6072']"
2,doc_72,"['doc_72', 'doc_3710']"
3,doc_74,"['doc_1704', 'doc_74']"
4,doc_85,"['doc_6400', 'doc_85']"
5,doc_104,"['doc_8069', 'doc_104']"
6,doc_123,"['doc_123', 'doc_8386']"
7,doc_209,"['doc_209', 'doc_3827']"
8,doc_265,"['doc_3977', 'doc_265']"
9,doc_399,"['doc_1520', 'doc_399']"
10,doc_427,"['doc_427', 'doc_4607']"
11,doc_514,"['doc_514', 'doc_1388']"
12,doc_694,"['doc_694', 'doc_5602']"
13,doc_702,"['doc_2888', 'doc_702']"
14,doc_742,"['doc_742', 'doc_7310']"
15,doc_776,"['doc_776', 'doc_7154']"
16,doc_807,"['doc_1508', 'doc_807']"
17,doc_859,"['doc_859', 'doc_1537']"
18,doc_889,"['doc_889', 'doc_9155']"
19,doc_894,"['doc_2301', 'doc_894']"
20,doc_944,"['doc_944', 'doc_8320']"
21,doc_1001,"['doc_6807', 'doc_1001']"
22,doc_1149,"['doc_7098', 'doc_1149']"
23,doc_1301,"['doc_9057', 'doc_1301']"
24,doc_1388,"['doc_514', 'doc_1388']"
25,doc_1443,"['doc_4072', 'doc_1443']"
26,doc_1508,"['doc_1508', 'doc_807']"
27,doc_1520,"['doc_1520', 'doc_399']"
28,doc_1529,"['doc_2878', 'doc_1529']"
29,doc_1537,"['doc_859', 'doc_1537']"
30,doc_1632,"['doc_1632', 'doc_7245']"
31,doc_1646,"['doc_8863', 'doc_1646']"
32,doc_1694,"['doc_1694', 'doc_5995']"
33,doc_1704,"['doc_1704', 'doc_74']"
34,doc_1729,"['doc_1729', 'doc_2381']"
35,doc_1743,"['doc_1743', 'doc_5494']"
36,doc_1857,"['doc_1857', 'doc_4667']"
37,doc_1879,"['doc_2834', 'doc_1879']"
38,doc_2128,"['doc_3294', 'doc_2128']"
39,doc_2138,"['doc_2138', 'doc_9979']"
40,doc_2301,"['doc_2301', 'doc_894']"
41,doc_2378,"['doc_2378', 'doc_5155']"
42,doc_2381,"['doc_1729', 'doc_2381']"
43,doc_2411,"['doc_8883', 'doc_2411']"
44,doc_2521,"['doc_2521', 'doc_3630']"
45,doc_2834,"['doc_2834', 'doc_1879']"
46,doc_2878,"['doc_2878', 'doc_1529']"
47,doc_2886,"['doc_9333', 'doc_2886']"
48,doc_2888,"['doc_2888', 'doc_702']"
49,doc_3176,"['doc_7857', 'doc_3176']"
50,doc_3182,"['doc_3182', 'doc_5521']"
51,doc_3187,"['doc_4104', 'doc_3187']"
52,doc_3294,"['doc_3294', 'doc_2128']"
53,doc_3316,"['doc_7314', 'doc_3316']"
54,doc_3384,"['doc_9679', 'doc_3384']"
55,doc_3429,"['doc_3429', 'doc_7426']"
56,doc_3630,"['doc_2521', 'doc_3630']"
57,doc_3710,"['doc_72', 'doc_3710']"
58,doc_3777,"['doc_3777', 'doc_7510']"
59,doc_3827,"['doc_209', 'doc_3827']"
60,doc_3941,"['doc_5921', 'doc_3941']"
61,doc_3977,"['doc_3977', 'doc_265']"
62,doc_4072,"['doc_4072', 'doc_1443']"
